Date,Close,t,y
7/11/2014,1967.57,1,7.584554558
7/10/2014,1964.68,1,7.583084661
7/9/2014,1972.83,1,7.587224339
7/8/2014,1963.71,1,7.58259082
7/7/2014,1977.65,4,7.58966455
7/3/2014,1985.44,1,7.593595831
7/2/2014,1974.62,1,7.588131254
7/1/2014,1973.32,1,7.587472682
6/30/2014,1960.23,3,7.580817092
6/27/2014,1960.96,1,7.581189428
6/26/2014,1957.22,1,7.579280378
6/25/2014,1959.53,1,7.580459928
6/24/2014,1949.98,1,7.575574395
6/23/2014,1962.61,3,7.582030499
6/20/2014,1962.87,1,7.582162967
6/19/2014,1959.48,1,7.580434411
6/18/2014,1956.98,1,7.579157748
6/17/2014,1941.99,1,7.5714685
6/16/2014,1937.78,3,7.569298267
6/13/2014,1936.16,1,7.568461909
6/12/2014,1930.11,1,7.565332275
6/11/2014,1943.89,1,7.572446399
6/10/2014,1950.79,1,7.575989698
6/9/2014,1951.27,3,7.576235722
6/6/2014,1949.44,1,7.575297431
6/5/2014,1940.46,1,7.570680337
6/4/2014,1927.88,1,7.564176233
6/3/2014,1924.24,1,7.562286364
6/2/2014,1924.97,3,7.562665662
5/30/2014,1923.57,1,7.561938114
5/29/2014,1920.03,1,7.56009609
5/28/2014,1909.78,1,7.554743331
5/27/2014,1911.91,4,7.555858021
5/23/2014,1900.53,1,7.549888074
5/22/2014,1892.49,1,7.545648701
5/21/2014,1888.03,1,7.543289236
5/20/2014,1872.83,1,7.535205935
5/19/2014,1885.08,3,7.541725539
5/16/2014,1877.86,1,7.53788811
5/15/2014,1870.85,1,7.534148152
5/14/2014,1888.53,1,7.543554028
5/13/2014,1897.45,1,7.548266158
5/12/2014,1896.65,3,7.547844451
5/9/2014,1878.48,1,7.538218218
5/8/2014,1875.63,1,7.536699882
5/7/2014,1878.21,1,7.538074475
5/6/2014,1867.72,1,7.532473715
5/5/2014,1884.66,3,7.541502712
5/2/2014,1881.14,1,7.539633255
5/1/2014,1883.68,1,7.540982589
4/30/2014,1883.95,1,7.541125916
4/29/2014,1878.33,1,7.538138363
4/28/2014,1869.43,3,7.533388851
4/25/2014,1863.4,1,7.530158055
4/24/2014,1878.61,1,7.538287421
4/23/2014,1875.39,1,7.536571917
4/22/2014,1879.55,1,7.538787665
